"","ID","Achievement","Effort","Intention","Intrinsic_motivation"
"1",1,21,6.2,6.4,6.71429
"2",2,5,4.6,6.6,6.57143
"3",4,0,6,4.4,1
"4",5,8,4.6,4.2,2.85714
"5",6,20,6.4,6,6.42857
"6",7,5,3.4,5.2,3
"7",8,16,6,5.8,6.14286
"8",9,4,2.8,4.4,3
"9",10,10,5.6,7,4.71429
"10",11,14,5.2,3.8,5.42857
"11",12,21,3.4,6,6.57143
"12",13,14,4.4,5,3.57143
"13",14,11,4,5.2,2.85714
"14",15,0,4,4,4.57143
"15",16,0,5.4,6.4,3.42857
"16",17,10,6.2,5.4,5.57143
"17",18,0,3.2,5.8,3.42857
"18",19,3,3,5.8,5
"19",20,5,4.4,3,5
"20",21,5,5.4,7,2.14286
"21",22,0,3.2,3.25,5.14286
"22",23,2,2,5.4,2.28571
"23",24,5,2.8,2.2,4
"24",25,5,4.6,4.6,4.85714
"25",26,4,5.2,5.8,5.42857
"26",27,3,5.2,5.2,2.14286
"27",28,4,4.6,5.8,1
"28",29,15,4.6,4.6,4.42857
"29",30,1,5,5,3.57143
"30",31,10,5.4,6.8,5.28571
"31",32,5,6.4,7,1.85714
"32",33,1,4,5,1.14286
"33",34,5,5,3.8,5
"34",35,9,3,5.8,2.57143
"35",36,0,5.2,6,5.57143
"36",37,16,4.8,4.4,5.14286
"37",38,5,3.4,5.4,1.28571
"38",39,0,5.4,6.6,5.14286
"39",40,5,4.6,6.4,2.85714
"40",41,0,7,7,6.57143
"41",42,19,6.4,5,6
"42",43,6,7,5.8,5.14286
"43",44,11,4.2,4.4,3.28571
"44",45,4,3.6,4.4,2.42857
"45",46,5,3.2,1.6,3.14286
"46",47,0,4.6,4.8,3.71429
"47",48,5,4.6,4,5.28571
"48",49,27,6,2.4,5.42857
"49",50,15,3.4,4.6,4.71429
"50",51,15,4.8,7,5.42857
"51",52,0,4.6,5.4,5.14286
"52",53,15,4.4,3.6,6
"53",54,1,4,5.6,2.71429
"54",55,0,2.6,4.2,1.71429
"55",56,5,3.6,5,4.28571
"56",57,0,5,7,4.71429
"57",58,0,4,6,4.42857
"58",59,0,2.8,2.6,3.14286
"59",60,5,3,5.4,5
"60",61,6,3.2,5.4,5
"61",62,1,4,4.4,4.28571
"62",63,0,3.2,1,6
"63",64,0,3.4,3.4,5.14286
"64",65,0,2.8,5.8,3
"65",66,5,3,6,5.42857
"66",67,0,2,6,2.28571
"67",68,10,4.6,4.2,5
"69",70,0,3.4,4.6,1.14286
"70",71,4,5,4.8,3.57143
"71",72,10,4.6,2.6,2.42857
"72",73,5,3.8,4.2,2.14286
"73",74,18,5,5.2,3.28571
"74",75,12,6.6,6.2,6.85714
"75",76,0,5,2.8,3.57143
"76",77,10,6.2,6.8,7
"77",78,18,5.2,5.6,6.14286
"78",79,0,5.2,6,3.71429
"79",80,10,3.8,6,4.42857
"80",81,3,3.75,5,4.85714
"81",82,25,4,5.4,6
"82",83,10,2,4.6,4.85714
"83",84,5,4.4,6.2,1.85714
"84",85,10,4.6,4.4,5.71429
"85",86,0,2.4,6.2,4.71429
"86",87,6,5.6,6.8,5.85714
"87",88,6,2.4,5,2.28571
"88",89,1,2.6,6.4,1
"89",90,0,4.4,5.6,2.71429
"90",91,6,4,6.2,4.42857
"91",92,5,5,5.4,5.14286
"92",93,8,5.8,7,7
"93",94,5,6.6,6.2,3.42857
"95",96,19,7,6.6,4.71429
"96",97,15,5.2,5.8,5.57143
"97",98,11,5.4,6.4,6.14286
"98",99,8,5,5.6,3.57143
"99",100,9,4.6,6.2,3.71429
"100",101,5,4.2,6.8,5.71429
"101",102,23,5.2,7,6.42857
"102",103,15,4.2,6.6,4
"103",104,1,4.4,5.4,5.14286
"104",105,25,5.2,6.4,5.14286
"105",106,4,3.4,5.8,4.28571
"106",107,6,4,5.2,4.42857
"107",108,11,7,5.8,6.57143
"108",109,0,4.6,6.6,4.28571
"109",110,0,2.4,2.4,1
"110",111,0,1.8,5.4,1
"111",112,0,5.6,6,5.71429
"112",113,0,4,6.6,4.57143
"113",114,15,6.8,6.8,6
"114",115,10,4.2,5.8,4.42857
"115",116,5,5.4,5.8,4.14286
"116",117,21,5.2,5.8,6.28571
"117",118,5,4.4,5.6,1.57143
"118",119,9,5.2,6.8,6.42857
"119",120,5,4.2,5.4,4.71429
"120",121,1,4.2,4.8,6.28571
"121",122,5,4,6.6,2.28571
"122",123,4,2.8,6.2,4.14286
"123",124,0,2.8,4.6,1.66667
"124",125,0,5.2,5.6,4.57143
"125",126,10,4.4,4.8,1.28571
"126",127,20,7,7,4.85714
"127",128,1,5.4,4,6.14286
